INFO  - 2014-06-06 10:53:51.684; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[83e069ea08f89505b3d28220eb428cb1 (1470150561425784832)]} 0 3
INFO  - 2014-06-06 10:53:51.797; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[c8cdbe5a43fe6ab4b1007f0d85242adb (1470150561545322496)]} 0 2
INFO  - 2014-06-06 10:53:51.907; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a7d16648a923a44d2bdc444b5f9880cc (1470150561660665856)]} 0 2
INFO  - 2014-06-06 10:53:51.965; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[38ccba7b88b0d196ca3c738ae001b49f (1470150561720434688)]} 0 3
INFO  - 2014-06-06 10:53:52.037; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[dc8511c86e6e9f3b6c4f3ba91e1c945d (1470150561795932160)]} 0 2
INFO  - 2014-06-06 10:53:52.382; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[e946759b28410bbf9ed3734767b84d0b (1470150562157690880)]} 0 3
INFO  - 2014-06-06 10:53:52.402; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[fd7b8ba687259bb29e00a6c5d4970328 (1470150562179710976)]} 0 2
INFO  - 2014-06-06 10:53:52.510; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[84ad7dfa1c1d68937f3f7c75ce870960 (1470150562292957184)]} 0 2
INFO  - 2014-06-06 10:53:52.673; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[8eb014a8ea1c9c8946875a809fe6378e (1470150562463875072)]} 0 4
INFO  - 2014-06-06 10:53:52.689; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[694e0002be6a3b0ba8bf1f6e0184e965 (1470150562480652288)]} 0 2
INFO  - 2014-06-06 10:53:52.765; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[49063477fc69e8ad443f55db219b07f8 (1470150562559295488)]} 0 2
